Título,Autor,Serie,Valoración,Votos
الرحيق المختوم,Safiur Rahman Mubarakpuri,,4.61,21799
VAMPIRE ACADEMY COLLECTION,Richelle Mead,Vampire Academy #1-3,4.61,34041
HEARTSTOPPER: VOLUME FOUR,Alice Oseman,Heartstopper #4,4.61,380464
J.R.R. TOLKIEN 4-BOOK BOXED SET: THE HOBBIT AND THE LORD OF THE RINGS,J.R.R. Tolkien,,4.61,133872
UNA HISTORIA DE AYER,Sergio Cobo,,4.6,13087
CROOKED KINGDOM,Leigh Bardugo,Six of Crows #2,4.6,642457
CROOKED KINGDOM,Leigh Bardugo,Six of Crows #2,4.6,642457
QUEEN OF SHADOWS,Sarah J. Maas,Throne of Glass #4,4.6,787530
THE SONG OF THE LIONESS QUARTET,Tamora Pierce,Song of the Lioness #1-4,4.6,13921
DARKSTALKER,Tui T. Sutherland,Wings of Fire: Legends #1,4.6,16400
A SONG OF ICE AND FIRE,George R.R. Martin,A Song of Ice and Fire #1-5,4.6,60563
A STORY OF YESTERDAY,Sergio Cobo,,4.6,13087
QUEEN OF SHADOWS,Sarah J. Maas,Throne of Glass #4,4.6,787544
STANDING FOR SOMETHING: 10 NEGLECTED VIRTUES THAT WILL HEAL OUR HEARTS AND HOMES,Gordon B. Hinckley,,4.6,14437
MOON RISING,Tui T. Sutherland,Wings of Fire #6,4.6,26556
CROOKED KINGDOM,Leigh Bardugo,Six of Crows #2,4.6,642455
THE DYING OF THE LIGHT,Derek Landy,Skulduggery Pleasant #9,4.6,11685
FOURTH WING,Rebecca Yarros,The Empyrean #1,4.59,1557908
NEVERSEEN,Shannon Messenger,Keeper of the Lost Cities #4,4.59,42938
MISTBORN TRILOGY BOXED SET,Brandon Sanderson,Mistborn #1-3,4.59,53255
FOURTH WING,Rebecca Yarros,The Empyrean #1,4.59,1557908
"THE SANDMAN, VOL. 9: THE KINDLY ONES",Neil Gaiman,,4.59,50858
HARRY POTTER AND THE PRISONER OF AZKABAN,J.K. Rowling,Harry Potter #3,4.58,4201102
THE BOY WHO WAS RAISED AS A DOG: AND OTHER STORIES FROM A CHILD PSYCHIATRIST'S NOTEBOOK,Bruce D. Perry,,4.58,32862
STYXX,Sherrilyn Kenyon,Dark-Hunter #22,4.58,22472
HEARTSTOPPER: VOLUME THREE,Alice Oseman,Heartstopper #3,4.58,433125
THE HIGH AUCTION,Misba,Wisdom Revolution #1,4.58,10212
BURNER,Mark Greaney,Gray Man #12,4.58,11850
DESPERATION IN DEATH,J.D. Robb,In Death #55,4.58,23076
"WOMEN, RACE & CLASS",Angela Y. Davis,,4.58,28562
THE CHOICE: EMBRACE THE POSSIBLE,Edith Eger,,4.58,100649
THE HIGH AUCTION,Misba,Wisdom Revolution #1,4.58,10212
HARRY POTTER AND THE HALF-BLOOD PRINCE,J.K. Rowling,Harry Potter #6,4.58,3284200
HARRY POTTER AND THE GOBLET OF FIRE,J.K. Rowling,Harry Potter #4,4.57,3707537
COLLECTED FICTIONS,Jorge Luis Borges,,4.57,23988
CROOKEDSTAR'S PROMISE,Erin Hunter,Warriors Super Edition #4,4.57,11275
CITY OF BONES / CITY OF ASHES / CITY OF GLASS / CITY OF FALLEN ANGELS / CITY OF LOST SOULS,Cassandra Clare,The Mortal Instruments #1-5,4.57,14931
A VOICE IN THE WIND,Francine Rivers,Mark of the Lion #1,4.57,95235
A MEMORY OF LIGHT,Robert Jordan,The Wheel of Time #14,4.57,144559
THE COMPLETE NOVELS,Jane Austen,,4.57,33342
DARKNESS OF DRAGONS,Tui T. Sutherland,Wings of Fire #10,4.57,18738
LAST STAND OF DEAD MEN,Derek Landy,Skulduggery Pleasant #8,4.57,13985
THE COMPLETE MAUS,Art Spiegelman,,4.57,221123
THE HOUSE OF HADES,Rick Riordan,The Heroes of Olympus #4,4.57,416180
THE KING'S MEN,Nora Sakavic,All for the Game #3,4.57,61591
TIAMAT'S WRATH,James S.A. Corey,The Expanse #8,4.57,65706
GRANDMASTER OF DEMONIC CULTIVATION: MO DAO ZU SHI,Mò Xiāng Tóng Xiù,Novel Vol. 1,4.56,19920
CLOCKWORK PRINCESS,Cassandra Clare,The Infernal Devices #3,4.56,445754
THE RETURN OF THE KING,J.R.R. Tolkien,The Lord of the Rings #3,4.56,907126
PAINT IT ALL RED,S.T. Abby,Mindf*ck #5,4.56,161204
THE LAST HOPE,Erin Hunter,Warriors: Omen of the Stars #6,4.56,13698
FINDING ME,Viola Davis,,4.56,118299
SKIN GAME,Jim Butcher,The Dresden Files #15,4.56,85862
ACHERON,Sherrilyn Kenyon,Dark-Hunter #14,4.56,59822
THE RETURN OF THE KING,J.R.R. Tolkien,The Lord of the Rings #3,4.56,907126
THE MORTAL INSTRUMENTS,Cassandra Clare,The Mortal Instruments #1-4,4.56,17027
THE BRIGHTEST NIGHT,Tui T. Sutherland,Wings of Fire #5,4.56,29590
TUTUNAMAYANLAR,Oğuz Atay,,4.56,11621
"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,,4.56,190536
THE RETURN OF THE KING,J.R.R. Tolkien,The Lord of the Rings #3,4.56,907126
A STORM OF SWORDS 2: BLOOD AND GOLD,George R.R. Martin,A Song of Ice and Fire #3 Part 2 of 2,4.55,97148
WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Outlander #8,4.55,127698
"THE SANDMAN, VOL. 7: BRIEF LIVES",Neil Gaiman,,4.55,59112
NIGHTFALL,Shannon Messenger,Keeper of the Lost Cities #6,4.55,35767
NORTH! OR BE EATEN,Andrew       Peterson,The Wingfeather Saga #2,4.55,16224
THE MORTAL INSTRUMENTS BOXED SET: CITY OF BONES; CITY OF ASHES; CITY OF GLASS,Cassandra Clare,The Mortal Instruments #1-3,4.55,68261
THE LAST QUESTION,Isaac Asimov,,4.55,25743
THE WISE MAN’S FEAR,Patrick Rothfuss,The Kingkiller Chronicle #2,4.55,558146
"CALIBAN AND THE WITCH: WOMEN, THE BODY AND PRIMITIVE ACCUMULATION",Silvia Federici,,4.55,10195
THE LAST OLYMPIAN,Rick Riordan,Percy Jackson and the Olympians #5,4.55,1007524
"BRAIDING SWEETGRASS: INDIGENOUS WISDOM, SCIENTIFIC KNOWLEDGE AND THE TEACHINGS OF PLANTS",Robin Wall Kimmerer,,4.54,118688
IF THIS IS A MAN • THE TRUCE,Primo Levi,,4.54,20033
A STORM OF SWORDS,George R.R. Martin,A Song of Ice and Fire #3,4.54,784814
"THE SANDMAN, VOL. 4: SEASON OF MISTS",Neil Gaiman,,4.54,77967
THE DARKEST HOUR,Erin Hunter,Warriors #6,4.54,50983
BLUESTAR'S PROPHECY,Erin Hunter,Warriors Super Edition #2,4.54,17395
PERCY JACKSON AND THE OLYMPIANS,Rick Riordan,Percy Jackson and the Olympians #1-3,4.54,44966
EMPIRE OF PAIN: THE SECRET HISTORY OF THE SACKLER DYNASTY,Patrick Radden Keefe,,4.54,103970
HOLY BIBLE: THE NEW KING JAMES VERSION,Anonymous,,4.54,55061
HEARTSTOPPER: VOLUME TWO,Alice Oseman,Heartstopper #2,4.54,489969
THE FIRE NEXT TIME,James Baldwin,,4.54,100854
THE HOLY BIBLE: ENGLISH STANDARD VERSION,Anonymous,,4.54,55061
THE INHERITANCE CYCLE,Christopher Paolini,The Inheritance Cycle #1-4,4.54,12490
LONESOME DOVE,Larry McMurtry,Lonesome Dove #1,4.53,191659
LODESTAR,Shannon Messenger,Keeper of the Lost Cities #5,4.53,38604
THE LORD OF THE RINGS,J.R.R. Tolkien,,4.53,677622
THE HERO OF AGES,Brandon Sanderson,Mistborn #3,4.53,429979
"FULLMETAL ALCHEMIST, VOL. 1",Hiromu Arakawa,,4.53,166925
THE BALLAD OF NEVER AFTER,Stephanie Garber,Once Upon a Broken Heart #2,4.53,211726
THE DIVERGENT SERIES 2-BOOK COLLECTION,Veronica Roth,Divergent #1-2,4.53,15131
