Título,Autor,Serie,Valoración,Votos
GUARDS! GUARDS!,Terry Pratchett,Discworld #8; City Watch #1,4.34,208844
FIRST THEY KILLED MY FATHER: A DAUGHTER OF CAMBODIA REMEMBERS,Loung Ung,,4.34,47534
HOPE: A MEMOIR OF SURVIVAL IN CLEVELAND,Amanda     Berry,,4.34,16959
THE PORTABLE DOROTHY PARKER,Dorothy Parker,,4.34,11821
WHERE THE SIDEWALK ENDS,Shel Silverstein,,4.34,1406103
THE ALEPH AND OTHER STORIES,Jorge Luis Borges,,4.34,41902
CAN'T HURT ME: MASTER YOUR MIND AND DEFY THE ODDS,David Goggins,,4.34,233327
NON VIOLENT COMMUNICATION A LANGUAGE OF LIFE,Marshall B. Rosenberg,,4.34,38795
A PROMISED LAND,Barack Obama,,4.34,228716
ON WRITING: A MEMOIR OF THE CRAFT,Stephen King,,4.34,288419
THE ASSASSIN AND THE UNDERWORLD,Sarah J. Maas,Throne of Glass #0.4,4.34,46692
NIGHT PLAY,Sherrilyn Kenyon,Dark-Hunter #5; Were-Hunter #1,4.34,54409
UNDER THE JOLLY ROGER: BEING AN ACCOUNT OF THE FURTHER NAUTICAL ADVENTURES OF JACKY FABER,L.A. Meyer,Bloody Jack #3,4.34,11282
THE TRAVELLING CAT CHRONICLES,Hiro Arikawa,,4.34,73926
RAYBEARER,Jordan Ifueko,Raybearer #1,4.34,27368
CRUSH,Richard Siken,,4.34,36412
JOHNNY THE HOMICIDAL MANIAC: DIRECTOR'S CUT,Jhonen Vásquez,,4.34,10018
DREAMS MADE FLESH,Anne Bishop,The Black Jewels #5,4.34,17366
HOUSE OF CHAINS,Steven Erikson,Malazan Book of the Fallen #4,4.34,48503
SILVER SHADOWS,Richelle Mead,Bloodlines #5,4.34,61141
LONE SURVIVOR: THE EYEWITNESS ACCOUNT OF OPERATION REDWING AND THE LOST HEROES OF SEAL TEAM 10,Marcus Luttrell,,4.34,93776
THE COMPLETE STORIES,Franz Kafka,,4.34,26796
IRON KISSED,Patricia Briggs,Mercy Thompson #3,4.34,124582
THE LAST STAND OF THE TIN CAN SAILORS: THE EXTRAORDINARY WORLD WAR II STORY OF THE U.S. NAVY'S FINEST HOUR,James D. Hornfischer,,4.34,10748
EXODUS,Leon Uris,,4.34,99262
A DANCE WITH DRAGONS,George R.R. Martin,A Song of Ice and Fire #5,4.34,653777
LAST ARGUMENT OF KINGS,Joe Abercrombie,The First Law #3,4.34,160179
THE FIERY HEART,Richelle Mead,Bloodlines #4,4.34,76909
SAY YOU SWEAR,Meagan Brandy,Boys of Avix #1,4.33,123427
OPPOSITION,Jennifer L. Armentrout,Lux #5,4.33,84944
UNA VITA COME TANTE,Hanya Yanagihara,,4.33,627145
CHOSEN AT NIGHTFALL,C.C. Hunter,Shadow Falls #5,4.33,34288
THE FOLK OF THE FARAWAY TREE,Enid Blyton,The Faraway Tree #3,4.33,17650
WISH,Barbara O'Connor,,4.33,17550
MIN KAMP 2,Karl Ove Knausgård,Min kamp #2,4.33,21397
THE COMPLETE ROBOT,Isaac Asimov,Robot #0.3,4.33,17665
HOLIDAY IN DEATH,J.D. Robb,In Death #7,4.33,42322
NEVERMOOR: THE TRIALS OF MORRIGAN CROW,Jessica Townsend,Nevermoor #1,4.33,64472
THE MIRACLE OF FORGIVENESS,Spencer W. Kimball,,4.33,15544
PALE BLUE DOT: A VISION OF THE HUMAN FUTURE IN SPACE,Carl Sagan,,4.33,36494
PARADOX EFFECT: TIME TRAVEL AND PURIFIED DNA MERGE TO HALT THE COLLAPSE OF HUMAN EXISTENCE,Gabriel F.W. Koch,,4.33,10197
QUEEN OF AIR AND DARKNESS,Cassandra Clare,The Dark Artifices #3,4.33,113215
"OUT OF SIGHT, OUT OF TIME",Ally Carter,Gallagher Girls #5,4.33,56284
LOVER REBORN,J.R. Ward,Black Dagger Brotherhood #10,4.33,83173
THE PSYCHOLOGY OF MONEY,Morgan Housel,,4.33,180689
WIR KINDER VOM BAHNHOF ZOO,Christiane V. Felscherinow,,4.33,61651
A LITTLE LIFE,Hanya Yanagihara,,4.33,627127
THE SONG OF ACHILLES,Madeline Miller,,4.33,1497226
THE SANDMAN: ENDLESS NIGHTS,Neil Gaiman,,4.33,29266
WE WERE SOLDIERS ONCE... AND YOUNG: IA DRANG - THE BATTLE THAT CHANGED THE WAR IN VIETNAM,Harold G. Moore,,4.33,30977
HINDS' FEET ON HIGH PLACES,Hannah Hurnard,,4.33,56030
A GENTLEMAN IN MOSCOW,Amor Towles,,4.33,547479
ALL CREATURES GREAT AND SMALL / ALL THINGS BRIGHT AND BEAUTIFUL,James Herriot,,4.33,14987
GROUND ZERO,Alan Gratz,,4.33,19307
美少女戦士セーラームーン新装版 1,Naoko Takeuchi,Bishōjo Senshi Sailor Moon Shinsōban #1,4.33,39740
WICKED DEEDS ON A WINTER'S NIGHT,Kresley Cole,Immortals After Dark #3,4.33,55727
FREEDOM AT MIDNIGHT,Dominique Lapierre,,4.33,10336
A GOOD GIRL'S GUIDE TO MURDER,Holly  Jackson,A Good Girl's Guide to Murder #1,4.33,1063999
ILLUMINATIONS,Arthur Rimbaud,,4.33,12857
THE EMPEROR OF ALL MALADIES: A BIOGRAPHY OF CANCER,Siddhartha Mukherjee,,4.33,102799
THE VERY HUNGRY CATERPILLAR,Eric Carle,,4.33,511423
TERM LIMITS,Vince Flynn,,4.33,36462
ERAK'S RANSOM,John Flanagan,Ranger's Apprentice #7,4.33,63789
BATMAN: THE LONG HALLOWEEN,Jeph Loeb,,4.33,100661
DAYTRIPPER,Fábio Moon,,4.33,34703
A GOOD GIRL'S GUIDE TO MURDER,Holly  Jackson,A Good Girl's Guide to Murder #1,4.33,1063999
BLOODMARKED,Tracy Deonn,Legendborn #2,4.33,55364
PHANTOM,Susan  Kay,,4.33,12535
THE SYSTEM OF THE WORLD,Neal Stephenson,The Baroque Cycle #3,4.33,22219
ORIGIN,Jennifer L. Armentrout,Lux #4,4.33,112743
EDENBROOKE,Julianne Donaldson,Edenbrooke #1,4.33,54352
PACHINKO,Min Jin Lee,,4.33,474348
"THE AUTOBIOGRAPHY OF MARTIN LUTHER KING, JR.",Martin Luther King Jr.,,4.33,22687
THE GRASS CROWN,Colleen McCullough,Masters of Rome #2,4.33,12480
SURVIVAL IN AUSCHWITZ,Primo Levi,,4.33,75387
THE RENEGADE HUNTER,Lynsay Sands,Argeneau #12; Rogue Hunter #3,4.33,15406
LE CHANT D'ACHILLE,Madeline Miller,,4.33,1497226
THE SONG OF ACHILLES,Madeline Miller,,4.33,1497226
THE LONG HAUL,Jeff Kinney,Diary of a Wimpy Kid #9,4.33,76074
THE GRAVITY OF US,Brittainy C. Cherry,Elements #4,4.33,32229
UNLEASH THE NIGHT,Sherrilyn Kenyon,Dark Hunter #8; Were-Hunter #2,4.33,43093
"WATCHMEN #1: AT MIDNIGHT, ALL THE AGENTS…",Alan Moore,Watchmen #1,4.33,178605
BREATHE,Kristen Ashley,Colorado Mountain #4,4.33,37723
LOVER ETERNAL,J.R. Ward,Black Dagger Brotherhood #2,4.33,193200
YOURS TRULY,Abby Jimenez,Part of Your World #2,4.33,275767
A LITTLE LIFE,Hanya Yanagihara,,4.33,627127
SON OF THE SHADOWS,Juliet Marillier,Sevenwaters #2,4.33,32065
THE WHISPERING SKULL,Jonathan Stroud,Lockwood & Co. #2,4.33,35361
ONE FOR THE MURPHYS,Lynda Mullaly Hunt,,4.33,31807
MOMO,Michael Ende,,4.33,80805
PATH OF DESTRUCTION,Drew Karpyshyn,Star Wars: Darth Bane #1,4.33,31327
THE SONG OF ACHILLES,Madeline Miller,,4.33,1497226
EXTREME MEASURES,Vince Flynn,Mitch Rapp #11,4.33,53450
THE SONG OF ACHILLES,Madeline Miller,,4.33,1497213
CATCHING FIRE,Suzanne Collins,The Hunger Games #2,4.33,3691807
ALMOST HEAVEN,Judith McNaught,Sequels #3,4.33,28343
THE HOUSEMAID,Freida McFadden,The Housemaid #1,4.33,1105643
KUSHIEL'S MERCY,Jacqueline Carey,Imriel's Trilogy #3,4.33,17747
RANSOM,Julie Garwood,Highlands' Lairds #2,4.33,36087
THE KILLER ANGELS,Michael Shaara,The Civil War Trilogy #2,4.33,86259
DEITY,Jennifer L. Armentrout,Covenant #3,4.33,66290
ON THE EDGE OF THE DARK SEA OF DARKNESS,Andrew       Peterson,The Wingfeather Saga #1,4.33,24642
THE CROWN TOWER,Michael J. Sullivan,The Riyria Chronicles #1,4.33,38381
TWELFTH GRADE KILLS,Heather Brewer,The Chronicles of Vladimir Tod #5,4.33,16628
THE LORDS OF DISCIPLINE,Pat Conroy,,4.33,28375
SE QUESTO È UN UOMO,Primo Levi,,4.33,75387
VOW OF THIEVES,Mary E. Pearson,Dance of Thieves #2,4.33,78899
A LITTLE LIFE,Hanya Yanagihara,,4.33,627145
STONER,John  Williams,,4.33,167365
SPIRIT BOUND,Richelle Mead,Vampire Academy #5,4.33,294968
THE TYRANT’S TOMB,Rick Riordan,The Trials of Apollo #4,4.33,74244
THE WINTER ROSE,Jennifer Donnelly,The Tea Rose #2,4.33,23400
TRANSFER OF POWER,Vince Flynn,Mitch Rapp #3,4.33,55422
KANE & ABEL,Jeffrey Archer,Kane & Abel #1,4.33,122136
WHISPERS AT MOONRISE,C.C. Hunter,Shadow Falls #4,4.33,40142
SCYTHE,Neal Shusterman,Arc of a Scythe #1,4.33,317288
THE HEROES,Joe Abercrombie,,4.33,62431
SISTERS,Raina Telgemeier,Smile #2,4.33,99977
11.22.63,Stephen King,,4.33,542650
THE BRIDGE ON THE DRINA,Ivo Andrić,Bosnian Trilogy #1,4.33,21710
CROSSROADS AND THE HIMALAYAN CRYSTALS,C. Toni Graham,Crossroads #1,4.33,11018
THE SONG OF ACHILLES,Madeline Miller,,4.33,1497226
11/22/63,Stephen King,,4.33,542649
THE FEAST OF THE GOAT,Mario Vargas Llosa,,4.32,35216
THE TRUE STORY OF THE 3 LITTLE PIGS,Jon Scieszka,,4.32,191502
LAST CHANCE TO SEE,Douglas Adams,,4.32,24799
THE BODY: A GUIDE FOR OCCUPANTS,Bill Bryson,,4.32,83177
THE FOURTH APPRENTICE,Erin Hunter,Warriors: Omen of the Stars #1,4.32,18581
THE EXILED QUEEN,Cinda Williams Chima,Seven Realms #2,4.32,51940
APOLLYON,Jennifer L. Armentrout,Covenant #4,4.32,55905
FEET OF CLAY,Terry Pratchett,Discworld #19; City Watch #3,4.32,84547
KILL SWITCH,Penelope Douglas,Devil's Night #3,4.32,105007
THE REAL MOTHER GOOSE,Blanche Fisher Wright,,4.32,36304
BLOOD KISS,J.R. Ward,Black Dagger Legacy #1,4.32,29704
KNOWING GOD,J.I. Packer,,4.32,58374
THE COMPLETE FAIRY TALES,Oscar Wilde,,4.32,11726
VERITY,Colleen Hoover,,4.32,2702625
DESTINED FOR AN EARLY GRAVE,Jeaniene Frost,Night Huntress #4,4.32,85204
HER FINAL BREATH,Robert Dugoni,Tracy Crosswhite #2,4.32,63554
FOR A FEW DEMONS MORE,Kim Harrison,The Hollows #5,4.32,58335
HUMANKIND: A HOPEFUL HISTORY,Rutger Bregman,,4.32,61122
PIERCING THE DARKNESS,Frank E. Peretti,Darkness #2,4.32,63419
A HAT FULL OF SKY,Terry Pratchett,Discworld #32; Tiffany Aching #2,4.32,74472
THE CODE OF THE WOOSTERS,P.G. Wodehouse,Jeeves #7,4.32,28734
"INUYASHA, VOL. 1: TURNING BACK TIME",Rumiko Takahashi,InuYasha #1,4.32,69299
THE WRETCHED OF THE EARTH,Frantz Fanon,,4.32,26617
"DEATH NOTE, VOL. 5: WHITEOUT",Tsugumi Ohba,Death Note #5,4.32,29498
DOM CASMURRO,Machado de Assis,,4.32,32050
GIOVANNI’S ROOM,James Baldwin,,4.32,158387
ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,,4.32,1671291
MAGICIAN,Raymond E. Feist,The Riftwar Saga #1-2,4.32,67635
ANNABEL LEE,Edgar Allan Poe,,4.32,10470
ECLIPSE,Erin Hunter,Warriors: Power of Three #4,4.32,20335
THE DEED OF PAKSENARRION,Elizabeth Moon,The Deed of Paksenarrion #1-3,4.32,13577
"STALINGRAD: THE FATEFUL SIEGE, 1942–1943",Antony Beevor,,4.32,37264
DARK FIRE,Christine Feehan,Dark #6,4.32,23488
KISS OF A DEMON KING,Kresley Cole,Immortals After Dark #6,4.32,44127
HEIR TO THE SHADOWS,Anne Bishop,The Black Jewels #2,4.32,27685
LIFE AND DEATH IN SHANGHAI,Nien Cheng,,4.32,13467
AMERICANAH,Chimamanda Ngozi Adichie,,4.32,372058
THE GULAG ARCHIPELAGO 1918–1956,Aleksandr Solzhenitsyn,,4.32,30492
SMALL GODS,Terry Pratchett,Discworld #13,4.32,121812
STILL ALICE,Lisa Genova,,4.32,342185
GIOVANNI'S ROOM,James Baldwin,,4.32,158387
VERITY,Colleen Hoover,,4.32,2702625
OUR VIOLENT ENDS,Chloe Gong,These Violent Delights #2,4.32,64819
ÇALIKUŞU,Reşat Nuri Güntekin,,4.32,16317
DAWN,Erin Hunter,Warriors: The New Prophecy #3,4.32,33698
FIRESTAR'S QUEST,Erin Hunter,Warriors Super Edition #1,4.32,25232
GIOVANNI'S ROOM,James Baldwin,,4.32,158387
LADY KNIGHT,Tamora Pierce,Protector of the Small #4,4.32,53288
"YU YU HAKUSHO, VOL. 1",Yoshihiro Togashi,Yu Yu Hakusho #1,4.32,17609
LETTERS TO THE LOST,Brigid Kemmerer,Letters to the Lost #1,4.32,46321
QUINTANA OF CHARYN,Melina Marchetta,Lumatere Chronicles #3,4.32,14562
ENDER'S SHADOW,Orson Scott Card,The Shadow Series #1,4.32,172265
THE POLAR EXPRESS,Chris Van Allsburg,,4.32,240956
GOOD NIGHT STORIES FOR REBEL GIRLS: 100 TALES OF EXTRAORDINARY WOMEN,Elena Favilli,,4.32,41023
CUTTING FOR STONE,Abraham   Verghese,,4.32,388215
YOU HAVE TO STOP THIS,Pseudonymous Bosch,Secret #5,4.32,12701
ECSTASY UNVEILED,Larissa Ione,Demonica #4,4.32,28986
THE PRACTICE OF THE PRESENCE OF GOD,Brother Lawrence,,4.32,49761
THE PENDERWICKS ON GARDAM STREET,Jeanne Birdsall,The Penderwicks #2,4.32,23529
MIDNIGHT OBSESSION,Melinda Leigh,Midnight #4,4.32,16004
A CONJURING OF LIGHT,V.E.  Schwab,Shades of Magic #3,4.32,161580
THE MOUNTAINS SING,Nguyễn Phan Quế Mai,,4.32,44439
CHAMPION,Marie Lu,Legend #3,4.32,218174
SWORD SONG,Bernard Cornwell,The Saxon Stories #4,4.32,41204
RESISTANCE,Jennifer A. Nielsen,,4.32,11504
VERITY,Colleen Hoover,,4.32,2702593
PERFECT,Ellen Hopkins,Impulse #2,4.32,29427
THE LITTLE PRINCE,Antoine de Saint-Exupéry,,4.32,2118623
IN THE BELLY OF THE BLOODHOUND: BEING AN ACCOUNT OF A PARTICULARLY PECULIAR ADVENTURE IN THE LIFE OF JACKY FABER,L.A. Meyer,Bloody Jack #4,4.32,10247
THE LOVE SONG OF J. ALFRED PRUFROCK AND OTHER POEMS,T.S. Eliot,,4.32,19004
THE DARKNESS OUTSIDE US,Eliot Schrefer,,4.32,20968
MEMORIAL DAY,Vince Flynn,Mitch Rapp #7,4.32,49422
THE ALICE NETWORK,Kate Quinn,,4.32,495033
LOVE DOES: DISCOVER A SECRETLY INCREDIBLE LIFE IN AN ORDINARY WORLD,Bob Goff,,4.31,89510
THE GOLDEN LILY,Richelle Mead,Bloodlines #2,4.31,118543
BATTLEFIELD OF THE MIND: WINNING THE BATTLE IN YOUR MIND,Joyce Meyer,,4.31,74895
THE CROW,James O'Barr,,4.31,15842
THE FIFTH SEASON,N.K. Jemisin,The Broken Earth #1,4.31,270000
CITY SPIES,James Ponti,City Spies #1,4.31,10517
THE NIGHT IN LISBON,Erich Maria Remarque,,4.31,20469
"GOOD NIGHT, MR. TOM",Michelle Magorian,,4.31,49529
THE REALMS OF THE GODS,Tamora Pierce,Immortals #4,4.31,56381
PARABLE OF THE TALENTS,Octavia E. Butler,Earthseed #2,4.31,59699
GOLDEN TRAIL,Kristen Ashley,The 'Burg #3,4.31,21217
A DEEPNESS IN THE SKY,Vernor Vinge,,4.31,33209
TALES FROM THE SHADOWHUNTER ACADEMY,Cassandra Clare,,4.31,69327
THE BURNING GOD,R.F. Kuang,The Poppy War #3,4.31,88479
THE BLACK DAGGER BROTHERHOOD: AN INSIDER'S GUIDE,J.R. Ward,,4.31,30731
FALL OF GIANTS,Ken Follett,The Century Trilogy #1,4.31,323780
BLOOD BOUND,Patricia Briggs,Mercy Thompson #2,4.31,128658
THE PALE HORSEMAN,Bernard Cornwell,The Saxon Stories #2,4.31,55700
THE GREAT BOOK OF AMBER,Roger Zelazny,The Chronicles of Amber #1-10,4.31,26105
THE CHILDREN OF NOISY VILLAGE,Astrid Lindgren,,4.31,13337
MILA 18,Leon Uris,,4.31,25804
THE GOSPEL ACCORDING TO JESUS CHRIST,José Saramago,,4.31,33236
THE MEMOIRS OF SHERLOCK HOLMES,Arthur Conan Doyle,Sherlock Holmes #4,4.31,90924
SIN UNDONE,Larissa Ione,Demonica #5,4.31,28531
THE GOOD WOMEN OF CHINA: HIDDEN VOICES,Xinran,,4.31,12084
MAGIC AND OTHER MISDEMEANORS,Michael Buckley,The Sisters Grimm #5,4.31,19909
FOREVER WITH YOU,Laurelin Paige,Fixed #3,4.31,31975
BIG LITTLE LIES,Liane Moriarty,,4.31,1008844
ERAGON & ELDEST,Christopher Paolini,The Inheritance Cycle #1-2,4.31,25937
KRISTIN LAVRANSDATTER,Sigrid Undset,,4.31,12285
THE PAPER BAG PRINCESS,Robert Munsch,,4.31,51152
THE LIGHTNING THIEF,Rick Riordan,Percy Jackson and the Olympians #1,4.31,3023930
GOODNIGHT MOON,Margaret Wise Brown,,4.31,374455
TWILIGHT,Erin Hunter,Warriors: The New Prophecy #5,4.31,26898
GONE WITH THE WIND,Margaret Mitchell,,4.31,1209133
CLOCKWORK ANGEL,Cassandra Clare,The Infernal Devices #1,4.31,831624
THE CHOSEN,J.R. Ward,Black Dagger Brotherhood #15,4.31,26693
THE LIGHTNING THIEF,Rick Riordan,Percy Jackson and the Olympians #1,4.31,3023914
DEATH OF KINGS,Bernard Cornwell,The Saxon Stories #6,4.31,30786
ENDER’S GAME,Orson Scott Card,Ender's Saga #1,4.31,1376894
THE HAMMER OF THOR,Rick Riordan,Magnus Chase and the Gods of Asgard #2,4.31,113000
THE FIFTH SEASON,N.K. Jemisin,The Broken Earth #1,4.31,270000
GREEN EGGS AND HAM,Dr. Seuss,,4.31,777462
"THE HOBBIT, PART ONE",J.R.R. Tolkien,,4.31,377743
MAHABHARATA,C. Rajagopalachari,,4.31,11227
THE INVENTION OF NATURE: ALEXANDER VON HUMBOLDT'S NEW WORLD,Andrea Wulf,,4.31,25379
ESCAPING DESTINY,Amelia Hutchins,The Fae Chronicles #3,4.31,26686
ANNE OF GREEN GABLES,L.M. Montgomery,Anne of Green Gables #1,4.31,982129
THE GLASS CASTLE,Jeannette Walls,,4.31,1216468
BURN FOR ME,Ilona Andrews,Hidden Legacy #1,4.31,61638
THE BURNING LAND,Bernard Cornwell,The Saxon Stories #5,4.31,37292
THE SNEETCHES AND OTHER STORIES,Dr. Seuss,,4.31,65439
INTO THE WILD,Erin Hunter,Warriors #1,4.31,105143
A CRYSTAL OF TIME,Soman Chainani,The School for Good and Evil: The Camelot Years #2,4.31,16959
DYNASTY OF EVIL,Drew Karpyshyn,Star Wars: Darth Bane #3,4.31,21054
FUGITIVE TELEMETRY,Martha Wells,The Murderbot Diaries #6,4.31,67494
THE SIGHT,Erin Hunter,Warriors: Power of Three #1,4.31,27695
LOVER UNBOUND,J.R. Ward,Black Dagger Brotherhood #5,4.31,134935
MOONRISE,Erin Hunter,Warriors: The New Prophecy #2,4.31,36615
A ​SKY BEYOND THE STORM,Sabaa Tahir,An Ember in the Ashes #4,4.31,59885
LONG SHADOWS,Erin Hunter,Warriors: Power of Three #5,4.31,19474
THE GREAT DIVORCE,C.S. Lewis,,4.31,151403
THE BURNING BRIDGE,John Flanagan,Ranger's Apprentice #2,4.31,125946
ARISTOTLE AND DANTE DISCOVER THE SECRETS OF THE UNIVERSE,Benjamin Alire Sáenz,Aristotle and Dante #1,4.31,602942
ALAMUT,Vladimir Bartol,,4.31,11992
"RONIA, THE ROBBER'S DAUGHTER",Astrid Lindgren,,4.31,32653
SOMETHING WONDERFUL,Judith McNaught,Sequels #2,4.31,29919
WHERE THE MOUNTAIN MEETS THE MOON,Grace Lin,,4.31,49642
OUT OF BREATH,Rebecca    Donovan,Breathing #3,4.31,49959
THE FOUNTAINS OF SILENCE,Ruta Sepetys,,4.31,68100
"GOOD GIRL, BAD BLOOD",Holly  Jackson,A Good Girl's Guide to Murder #2,4.31,473641
THE SIMPLE WILD,K.A. Tucker,Wild #1,4.31,122530
CLOSE TO HOME,Robert Dugoni,Tracy Crosswhite #5,4.31,40825
THE ICEWIND DALE TRILOGY COLLECTOR'S EDITION,R.A. Salvatore,Forgotten Realms: Icewind Dale #1-3; Legend of Drizzt #4-6,4.31,16414
MAGIC BURNS,Ilona Andrews,Kate Daniels #2,4.31,88445
WILD MAGIC,Tamora Pierce,Immortals #1,4.31,80044
WORLD WITHOUT END,Ken Follett,Kingsbridge #2,4.31,250975
TORRENT,Lisa Tawn Bergren,River of Time #3,4.3,10059
THE LIONS OF AL-RASSAN,Guy Gavriel Kay,,4.3,23069
TAUNTING DESTINY,Amelia Hutchins,The Fae Chronicles #2,4.3,29440
THE SHADOW OF THE WIND,Carlos Ruiz Zafón,The Cemetery of Forgotten Books #1,4.3,637611
THE BLUE CASTLE,L.M. Montgomery,,4.3,44436
LETTERS TO A YOUNG POET,Rainer Maria Rilke,,4.3,92918
"LOVE IS THE ANSWER, GOD IS THE CURE: A TRUE STORY OF ABUSE, BETRAYAL AND UNCONDITIONAL LOVE",Aimee Cabo Nikolov,,4.3,17252
DEMONS,Fyodor Dostoevsky,,4.3,52259
THE BIG SHORT: INSIDE THE DOOMSDAY MACHINE,Michael   Lewis,,4.3,160532
FROM HERE TO ETERNITY: TRAVELING THE WORLD TO FIND THE GOOD DEATH,Caitlin Doughty,,4.3,40405
WAIT FOR IT,Mariana Zapata,,4.3,94826
THE SOURCE,James A. Michener,,4.3,43537
THE 13½ LIVES OF CAPTAIN BLUEBEAR,Walter Moers,Zamonia #1,4.3,24165
THE COUNT OF MONTE CRISTO,Alexandre Dumas,,4.3,915890
PARADISE,Judith McNaught,Paradise #1,4.3,34930
KINDRED,Octavia E. Butler,,4.3,219379
HARROW THE NINTH,Tamsyn Muir,The Locked Tomb #2,4.3,66213
GRIP OF THE SHADOW PLAGUE,Brandon Mull,Fablehaven #3,4.3,92760
SQUIRE,Tamora Pierce,Protector of the Small #3,4.3,53046
THE FIFTH ELEPHANT,Terry Pratchett,Discworld #24; City Watch #5,4.3,73290
LA SOMBRA DEL VIENTO,Carlos Ruiz Zafón,El cementerio de los libros olvidados #1,4.3,637611
THE MAD SHIP,Robin Hobb,Liveship Traders #2,4.3,67607
HOUSE OF SPIES,Daniel Silva,Gabriel Allon #17,4.3,31909
LETTERS TO A YOUNG POET,Rainer Maria Rilke,,4.3,92918
LOVER AT LAST,J.R. Ward,Black Dagger Brotherhood #11,4.3,70469
ALPHA,Rachel Vincent,Shifters #6,4.3,14928
DRAGONSINGER,Anne McCaffrey,Harper Hall #2,4.3,46403
DEATH LEAVES A SHADOW,Gabriel F.W. Koch,Marlowe Black Mystery #2,4.3,16392
THE KINGS OF CLONMEL,John Flanagan,Ranger's Apprentice #8,4.3,58986
THE IMMORTAL HIGHLANDER,Karen Marie Moning,Highlander #6,4.3,36456
PERMANENT RECORD,Edward Snowden,,4.3,52121
GITANJALI,Rabindranath Tagore,,4.3,10959
BLACK HAWK DOWN: A STORY OF MODERN WAR,Mark Bowden,,4.3,64532
THRAWN,Timothy Zahn,Star Wars: Thrawn #1,4.3,49528
LESSONS IN CHEMISTRY,Bonnie Garmus,,4.3,1253649
THE COST OF DISCIPLESHIP,Dietrich Bonhoeffer,,4.3,44934
THE RAVEN AND OTHER POEMS,Edgar Allan Poe,,4.3,45040
BLOOD RITES,Jim Butcher,The Dresden Files #6,4.3,130171
THE VELVETEEN RABBIT,Margery Williams Bianco,,4.3,258596
THE THINGS WE LEAVE UNFINISHED,Rebecca Yarros,,4.3,147055
DAN BROWN OMNIBUS: ANGELS AND DEMONS / THE DA VINCI CODE,Dan       Brown,Robert Langdon #1-2,4.3,48647
DEVIL MAY CRY,Sherrilyn Kenyon,Dark-Hunter #11,4.3,39180
BLOOD PROMISE,Richelle Mead,Vampire Academy #4,4.3,313473
IF I DIE,Rachel Vincent,Soul Screamers #5,4.3,16070
THE LOST HERO,Rick Riordan,The Heroes of Olympus #1,4.3,848940
DUST OF DREAMS,Steven Erikson,Malazan Book of the Fallen #9,4.3,29663
OPEN,Andre Agassi,,4.3,123888
CHILDREN OF TIME,Adrian Tchaikovsky,Children of Time #1,4.3,125584
SLEWFOOT: A TALE OF BEWITCHERY,Brom,,4.3,30406
SOOKIE STACKHOUSE 8 VOLUME SET,Charlaine Harris,Sookie Stackhouse #1-8,4.3,10026
ANIMAL FARM / 1984,George Orwell,,4.3,198848
THE CODE BOOK: THE SCIENCE OF SECRECY FROM ANCIENT EGYPT TO QUANTUM CRYPTOGRAPHY,Simon Singh,,4.3,27092
TAO TE CHING,Lao Tzu,,4.3,158045
LEVIATHAN WAKES,James S.A. Corey,The Expanse #1,4.3,268588
"GOD IS THE CURE, LOVE IS THE ANSWER: A MEMOIR",Aimee Cabo Nikolov,,4.3,17252
THE BEST OF H.P. LOVECRAFT: BLOODCURDLING TALES OF HORROR AND THE MACABRE,H.P. Lovecraft,,4.3,29469
IDENTICAL,Ellen Hopkins,,4.3,63597
BILLIONS & BILLIONS: THOUGHTS ON LIFE AND DEATH AT THE BRINK OF THE MILLENNIUM,Carl Sagan,,4.3,17133
GREGOR AND THE CODE OF CLAW,Suzanne Collins,Underland Chronicles #5,4.3,47582
THE GILDED CAGE,Lynette Noni,The Prison Healer #2,4.3,43708
THE STORYTELLER,Jodi Picoult,,4.3,228633
BRIGHT SIDE,Kim Holden,Bright Side #1,4.3,55266
KUSHIEL'S CHOSEN,Jacqueline Carey,Phèdre's Trilogy #2,4.3,40081
DARKDAWN,Jay Kristoff,The Nevernight Chronicle #3,4.3,46261
THE FARAWAY TREE STORIES,Enid Blyton,The Faraway Tree #1-3,4.3,15753
PERFECT,Judith McNaught,Paradise #2,4.3,24467
ROCK CHICK RESCUE,Kristen Ashley,Rock Chick #2,4.3,37714
REFLECTED IN YOU,Sylvia Day,Crossfire #2,4.3,351186
PEDAGOGY OF THE OPPRESSED,Paulo Freire,,4.3,34598
ANOTHER COUNTRY,James Baldwin,,4.3,26915
RUNNING BAREFOOT,Amy Harmon,,4.3,17048
WARBREAKER,Brandon Sanderson,,4.3,202947
THE OBELISK GATE,N.K. Jemisin,The Broken Earth #2,4.3,163098
LAST BREATH,Rachel Caine,The Morganville Vampires #11,4.3,25216
THE TATTOOIST OF AUSCHWITZ,Heather   Morris,The Tattooist of Auschwitz #1,4.3,938686
THE BRONZE HORSEMAN,Paullina Simons,The Bronze Horseman #1,4.3,86593
FINN FAMILY MOOMINTROLL,Tove Jansson,The Moomins #3,4.3,16394
FROZEN TIDES,Morgan Rhodes,Falling Kingdoms #4,4.3,22571
MEN WE REAPED,Jesmyn Ward,,4.3,23862
THE FOUR WINDS,Kristin Hannah,,4.3,676649
THE WICKED KING,Holly Black,The Folk of the Air #2,4.3,761542
ANIMAL LIBERATION,Peter Singer,,4.3,10440
